,Name,Artists,Year,Debut.rank,Peak.position,Weeks.to.peak,Weeks.at.peak,Lowest.rank,Weeks.to.low,Ending.rank,Total.weeks.on
791,Can U Believe,Robin Thicke,2007,100,99.0,2.0,1,100,1.0,99,2.0
792,Can't Be Broken,Lil Wayne,2018,17,17.0,1.0,1,91,2.0,91,2.0
793,Can't Be Friends,Trey Songz,2010,74,43.0,8.0,2,77,2.0,72,20.0
794,Can't Be Tamed,Miley Cyrus,2010,8,8.0,1.0,1,88,10.0,88,10.0
795,Can't Believe,Faith Evans,2001,86,56.0,13.0,1,97,20.0,97,20.0
796,Can't Believe It,T,2008,29,7.0,9.0,1,40,24.0,40,24.0
797,Can't Deny It,Fabolous,2001,98,25.0,12.0,3,98,1.0,59,20.0
798,Can't Feel My Face,The Weeknd,2015,24,1.0,9.0,3,50,41.0,50,41.0
799,Can't Fight The Moonlight,LeAnn Rimes,2000,82,11.0,33.0,2,99,6.0,36,42.0
800,Can't Get Enough,J. Cole,2011,82,52.0,9.0,1,82,1.0,74,20.0
801,Can't Get You Out Of My Head,Kylie Minogue,2002,64,7.0,9.0,1,78,20.0,78,20.0
802,Can't Go For That,Tamia,2000,90,84.0,3.0,1,97,5.0,97,5.0
803,Can't Have Everything,Drake,2017,82,82.0,1.0,1,97,2.0,97,2.0
804,Can't Help But Wait,Trey Songz,2007,99,14.0,12.0,1,99,1.0,44,24.0
805,Can't Hold Us,"Macklemore, Ryan Lewis",2013,97,1.0,13.0,5,97,1.0,50,39.0
806,Can't Hold Us Down,Christina Aguilera,2003,74,12.0,7.0,3,74,1.0,65,20.0
807,Can't Leave 'Em Alone,Ciara,2007,90,40.0,7.0,1,94,13.0,94,13.0
808,Can't Leave Without It,21 Savage,2019,58,58.0,1.0,1,93,4.0,93,4.0
809,Can't Let Go,Anthony Hamilton,2006,93,71.0,5.0,1,98,19.0,98,19.0
810,Can't Let You Go,Fabolous,2003,73,4.0,13.0,3,73,1.0,48,23.0
811,Can't Nobody,Kelly Rowland,2003,98,97.0,2.0,3,100,5.0,100,5.0
812,Can't Raise A Man,K. Michelle,2014,94,94.0,1.0,1,100,2.0,97,7.0
813,Can't Remember To Forget You,Shakira,2014,28,15.0,3.0,1,100,19.0,100,19.0
814,Can't Say,Travis Scott,2018,38,38.0,1.0,1,69,2.0,69,2.0
815,Can't Shake You,Gloriana,2013,83,83.0,1.0,1,99,4.0,99,4.0
816,Can't Stay,Dave Hollister,2000,84,84.0,1.0,2,98,4.0,98,4.0
817,Can't Stop,Red Hot Chili Peppers,2003,68,57.0,6.0,2,98,20.0,98,20.0
818,Can't Stop Dancin',Becky G,2015,98,88.0,3.0,1,98,1.0,88,3.0
819,Can't Stop Loving You,Phil Collins,2003,76,76.0,1.0,3,97,20.0,97,20.0
820,Can't Stop The Feeling!,Justin Timberlake,2016,1,1.0,1.0,1,47,50.0,39,52.0
821,"Can't Stop, Won't Stop",Young Gunz,2003,72,14.0,11.0,1,72,1.0,69,20.0
822,Can't Take A Joke,Drake,2018,18,18.0,1.0,1,100,4.0,100,4.0
823,Can't Tell Me Nothing,Kanye West,2007,80,41.0,11.0,1,97,19.0,97,19.0
824,Canadian Idiot,"""Weird Al"" Yankovic",2006,82,82.0,1.0,1,98,3.0,98,3.0
825,Candle,The White Tie Affair,2009,93,57.0,6.0,1,93,1.0,81,8.0
826,Candy,Mandy Moore,1999,88,41.0,8.0,1,100,14.0,86,20.0
827,Candy Paint,Post Malone,2017,84,34.0,20.0,1,85,2.0,34,20.0
828,Candy Shop,50 Cent,2005,53,1.0,5.0,9,53,1.0,49,23.0
829,Candyman,Christina Aguilera,2007,99,25.0,7.0,1,99,1.0,93,17.0
830,Capsize,"Frenship, Emily Warren",2016,94,78.0,4.0,1,97,10.0,97,10.0
831,Car Wash,Christina Aguilera,2004,73,63.0,2.0,1,91,5.0,91,5.0
832,Caramel,City High,2001,68,18.0,16.0,1,68,1.0,48,23.0
833,Careless Whisper,Seether,2009,76,63.0,11.0,1,95,18.0,95,18.0
834,Carlene,Phil Vassar,2000,75,45.0,8.0,2,100,20.0,100,20.0
835,Carolina,Parmalee,2013,93,36.0,13.0,1,95,19.0,95,19.0
836,Caroline,Amine,2016,96,11.0,16.0,1,96,1.0,49,28.0
837,Carousel,Travis Scott,2018,24,24.0,1.0,1,81,2.0,81,2.0
838,Carry On,fun.,2013,100,20.0,7.0,1,100,1.0,55,20.0
839,Carry Out,Timbaland,2009,75,11.0,9.0,3,75,1.0,48,26.0
840,Case Of The Ex,Mya,2000,72,2.0,16.0,3,72,1.0,35,30.0
841,Cash Me Outside,DJ Suede The Remix God,2017,88,72.0,3.0,1,96,2.0,72,3.0
842,Castaway,Zac Brown Band,2016,100,96.0,2.0,1,100,1.0,96,2.0
843,Castle On The Hill,Ed Sheeran,2017,6,6.0,1.0,1,75,8.0,48,33.0
844,Castles In The Sky,Ian Van Dahl,2001,99,91.0,8.0,1,100,3.0,99,10.0
845,Catch My Breath,Kelly Clarkson,2012,54,19.0,15.0,2,96,3.0,41,24.0
846,Cater 2 U,Destiny's Child,2005,95,14.0,16.0,1,95,1.0,37,24.0
847,Caught Out There,Kelis,1999,84,54.0,6.0,1,90,12.0,90,12.0
848,Caught Up,Usher,2004,76,8.0,15.0,2,76,1.0,47,26.0
849,Cecilia And The Satellite,Andrew McMahon In The Wilderness,2015,99,96.0,3.0,1,99,1.0,96,3.0
850,Celebration,Game,2012,82,81.0,8.0,1,100,2.0,95,12.0
851,Celebrity,Brad Paisley,2003,74,31.0,10.0,1,93,20.0,93,20.0
852,Centuries,Fall Out Boy,2014,22,10.0,20.0,2,55,3.0,49,34.0
853,Ch,Check It Out,2004,68,68.0,1.0,1,97,12.0,97,12.0
854,Cha,Cha Slide,2001,97,83.0,5.0,2,100,10.0,100,10.0
855,Chain Hang Low,Jibbs,2006,69,7.0,10.0,1,84,20.0,84,20.0
856,Chained To The Rhythm,Katy Perry,2017,4,4.0,1.0,1,88,14.0,86,15.0
857,Chains,Nick Jonas,2015,92,13.0,10.0,1,92,1.0,54,20.0
858,Chainsaw,The Band Perry,2014,94,86.0,7.0,1,97,9.0,97,9.0
859,Champagne Life,Ne,2010,75,75.0,1.0,2,100,8.0,100,8.0
860,Chandelier,Sia,2014,75,8.0,14.0,2,75,1.0,46,46.0
861,Chanel,Young Thug,2018,78,78.0,1.0,1,94,4.0,94,4.0
862,Change,J. Cole,2016,21,21.0,1.0,1,83,2.0,83,2.0
863,Change,Taylor Swift,2008,10,10.0,1.0,1,100,3.0,100,3.0
864,Change Clothes,JAY,2003,54,10.0,6.0,1,99,17.0,99,17.0
865,Change Locations,"Drake, Future",2015,82,82.0,1.0,1,96,3.0,96,3.0
866,Change The Game,Jay,2001,99,86.0,7.0,1,100,10.0,98,14.0
867,Change Your Mind,Sister Hazel,2000,75,59.0,4.0,1,100,17.0,98,20.0
868,Changed,Rascal Flatts,2012,73,73.0,1.0,1,98,4.0,96,8.0
869,Changes,XXXTENTACION,2018,47,18.0,10.0,2,96,9.0,78,20.0
870,Chantaje,Shakira,2016,96,51.0,8.0,1,97,17.0,97,18.0
871,Chariot,Gavin DeGraw,2005,97,30.0,14.0,2,97,1.0,61,20.0
872,Charlene,Anthony Hamilton,2004,72,19.0,10.0,3,72,1.0,42,22.0
873,Chasing Cars,Snow Patrol,2006,54,5.0,20.0,1,93,3.0,45,45.0
874,Chasing Pavements,Adele,2008,82,21.0,6.0,1,100,2.0,72,7.0
875,Chasing The Sun,The Wanted,2012,93,50.0,11.0,1,93,1.0,92,15.0
876,Cheap Thrills,Sia,2016,81,1.0,23.0,4,97,2.0,32,52.0
877,Cheatin',Sara Evans,2006,92,69.0,10.0,1,99,12.0,99,12.0
878,Check It Out,"will.i.am, Nicki Minaj",2010,78,24.0,8.0,1,96,13.0,96,15.0
879,Check My Brain,Alice In Chains,2009,99,92.0,3.0,1,99,1.0,99,4.0
880,Check On It,Beyonce,2005,72,1.0,12.0,5,72,1.0,48,28.0
881,Check Yes Juliet,WE the Kings,2008,92,70.0,8.0,1,100,2.0,85,11.0
882,Cheers,Rihanna,2011,91,7.0,9.0,1,91,1.0,86,18.0
883,Chemicals React,"Aly, AJ",2006,70,50.0,2.0,1,98,4.0,98,4.0
884,Cheyenne,Jason Derulo,2015,90,66.0,3.0,1,95,7.0,95,7.0
885,Chicken Fried,Zac Brown Band,2008,60,20.0,10.0,3,60,1.0,50,25.0
886,Chicken Noodle Soup.,"Webstar, Young B",2006,92,45.0,5.0,1,100,12.0,90,13.0
887,Chickenhead,Project Pat,2001,97,87.0,4.0,2,97,1.0,95,12.0
888,Chicks Dig It,Chris Cagle,2003,73,53.0,8.0,1,100,15.0,100,15.0
889,Chill Bill,Rob $tone,2016,97,29.0,15.0,3,97,1.0,43,26.0
890,Chillin' It,Cole Swindell,2013,98,28.0,18.0,2,98,1.0,43,20.0
891,Chinese Democracy,Guns N' Roses,2008,34,34.0,1.0,1,82,3.0,82,3.0
892,Chocolate,The 1975,2014,96,80.0,4.0,1,100,6.0,100,6.0
893,Chop Suey,System Of A Down,2002,76,76.0,1.0,1,94,14.0,92,20.0
894,Choppa Style,Choppa,2003,95,94.0,3.0,1,100,4.0,100,6.0
895,Christmas,Darlene Love,2018,50,43.0,2.0,1,50,1.0,43,2.0
896,Christmas Lights,Coldplay,2010,25,25.0,1.0,1,83,3.0,83,3.0
897,Chrome,Trace Adkins,2003,74,74.0,1.0,2,93,4.0,93,4.0
898,Chun-li,Nicki Minaj,2018,92,10.0,2.0,1,100,16.0,100,16.0
899,Church Bells,Carrie Underwood,2016,90,43.0,7.0,1,99,17.0,99,17.0
900,Circle,Marques Houston,2007,88,78.0,2.0,1,100,6.0,100,6.0
901,Circus,Britney Spears,2008,3,3.0,1.0,1,48,22.0,48,22.0
902,Citizen/Soldier,3 Doors Down,2008,99,96.0,2.0,1,99,1.0,96,2.0
903,Clap Back,Ja Rule,2003,84,44.0,6.0,1,93,10.0,93,10.0
904,Clarity,Zedd,2013,86,8.0,20.0,2,86,1.0,44,33.0
905,Classic,MKTO,2014,96,14.0,21.0,1,96,1.0,43,27.0
906,Classic Man,Jidenna,2015,89,22.0,16.0,1,89,1.0,46,21.0
907,Cleanin' Out My Closet,Eminem,2002,54,4.0,8.0,2,92,20.0,92,20.0
908,Cleaning This Gun,Rodney Atkins,2007,100,40.0,15.0,1,100,1.0,67,20.0
909,Climax,Usher,2012,81,17.0,11.0,1,81,1.0,53,20.0
910,Clint Eastwood,Gorillaz,2001,73,57.0,5.0,2,94,11.0,94,11.0
911,Clique,"Kanye West, Jay",2012,55,12.0,2.0,1,55,1.0,44,22.0
912,Clocks,Coldplay,2003,67,29.0,16.0,3,67,1.0,50,22.0
913,Close,Nick Jonas,2016,27,14.0,12.0,1,73,20.0,73,20.0
914,Close Friends,Lil Baby,2018,28,28.0,1.0,1,99,15.0,48,33.0
915,Close To Me,"Ellie Goulding, Diplo",2018,98,24.0,21.0,1,100,2.0,43,25.0
916,Close Your Eyes,Parmalee,2014,98,69.0,12.0,1,98,1.0,86,16.0
917,Closer,Ne,2008,95,7.0,22.0,2,95,1.0,50,39.0
918,Closer,Tegan And Sara,2013,90,90.0,1.0,1,97,2.0,96,3.0
919,Closer,The Chainsmokers,2016,9,1.0,3.0,12,39,52.0,39,52.0
920,Closer To Love,Mat Kearney,2009,100,91.0,4.0,1,100,1.0,100,7.0
921,Closet Freak,Cee,2002,99,98.0,3.0,1,100,2.0,98,3.0
922,Clouds,Zach Sobiech,2013,26,26.0,1.0,1,92,2.0,92,2.0
923,Clout,Offset,2019,64,39.0,3.0,1,72,2.0,56,12.0
924,Club Can't Handle Me,Flo Rida,2010,65,9.0,11.0,5,89,2.0,48,29.0
925,Clubbin,Marques Houston,2003,81,39.0,9.0,1,81,1.0,74,20.0
926,Clumsy,Fergie,2007,91,5.0,9.0,6,91,1.0,47,25.0
927,CoCo,O.T. Genasis,2014,77,20.0,11.0,1,79,20.0,79,20.0
928,Cochise,Audioslave,2002,77,69.0,6.0,1,96,15.0,96,15.0
929,Codeine Dreaming,Kodak Black,2017,52,52.0,1.0,1,95,13.0,95,13.0
930,Coffee,Miguel,2015,78,78.0,1.0,1,95,2.0,89,3.0
931,Cold,Crossfade,2004,95,81.0,20.0,3,99,7.0,81,22.0
932,Cold,Maroon 5,2017,42,16.0,5.0,1,91,20.0,91,20.0
933,Cold Day In July,Dixie Chicks,2000,80,65.0,7.0,1,91,10.0,91,10.0
934,Cold Hard Bitch,Jet,2004,76,55.0,6.0,3,92,19.0,92,20.0
935,Cold One,Eric Church,2014,96,88.0,4.0,1,98,6.0,98,6.0
936,Colder Weather,Zac Brown Band,2011,79,29.0,12.0,1,79,1.0,77,20.0
937,Collard Greens,ScHoolboy Q,2013,99,92.0,2.0,3,100,6.0,94,8.0
938,Collide,Howie Day,2005,78,20.0,19.0,1,78,1.0,49,32.0
939,Come A Little Closer,Dierks Bentley,2005,98,31.0,11.0,1,98,1.0,69,20.0
940,Come And See Me,PARTYNEXTDOOR,2016,97,55.0,20.0,1,99,5.0,63,24.0
941,Come Back Song,Darius Rucker,2010,67,37.0,14.0,1,85,2.0,85,20.0
942,Come Back To Me,David Cook,2009,63,63.0,1.0,1,97,18.0,97,19.0
943,Come Back To Me,Vanessa Hudgens,2006,79,55.0,11.0,1,92,19.0,92,19.0
944,Come Clean,Hilary Duff,2004,53,35.0,5.0,1,98,13.0,98,13.0
945,Come Get Her,Rae Sremmurd,2015,100,56.0,7.0,1,100,1.0,97,19.0
946,Come Get It Bae,Pharrell Williams,2014,82,23.0,10.0,1,100,15.0,100,15.0
947,Come Home Soon,SHeDAISY,2004,75,75.0,1.0,3,94,7.0,94,7.0
948,Come Into My World,Kylie Minogue,2002,98,91.0,4.0,1,98,1.0,92,8.0
949,Come On Get Higher,Matt Nathanson,2008,89,59.0,18.0,1,89,1.0,78,20.0
950,Come On Over,Jessica Simpson,2008,65,65.0,1.0,1,94,7.0,94,7.0
951,Come On Over,Shania Twain,1999,74,58.0,4.0,4,81,10.0,81,10.0
952,Come Over,Aaliyah,2003,75,32.0,15.0,2,75,1.0,47,20.0
953,Come Over,Kenny Chesney,2012,59,23.0,8.0,2,74,20.0,74,20.0
954,Come To Me,Diddy,2006,93,9.0,8.0,1,93,1.0,80,20.0
955,Come Wake Me Up,Rascal Flatts,2012,98,52.0,18.0,1,98,1.0,93,20.0
956,Come With Me Now,KONGOS,2014,98,31.0,15.0,2,98,1.0,44,21.0
957,Comfortable,K Camp,2015,91,54.0,6.0,1,91,1.0,82,15.0
958,Comin Out Strong,Future,2017,48,48.0,1.0,1,96,3.0,96,3.0
959,Comin' To Your City,"Big, Rich",2005,72,72.0,1.0,1,100,5.0,89,6.0
960,Coming Home,Diddy,2010,61,11.0,16.0,1,61,1.0,43,24.0
961,Coming Home,Keith Urban,2018,88,50.0,5.0,1,96,7.0,96,7.0
962,Coming Undone,Korn,2006,79,79.0,1.0,1,96,5.0,96,6.0
963,Commas,Future,2015,98,55.0,9.0,3,98,1.0,95,20.0
964,Company,Justin Bieber,2015,53,53.0,1.0,2,95,4.0,91,12.0
965,Compass,Lady Antebellum,2013,87,46.0,16.0,1,87,1.0,80,20.0
966,Complicated,Avril Lavigne,2002,68,2.0,10.0,2,68,1.0,41,31.0
967,Con Calma,"Daddy Yankee, Katy Perry",2019,90,22.0,17.0,1,95,2.0,37,21.0
968,Conceited,Remy Ma,2006,93,90.0,2.0,1,95,4.0,95,5.0
969,Concrete Angel,Martina McBride,2003,65,47.0,6.0,2,99,17.0,99,19.0
970,Confession,Florida Georgia Line,2016,99,53.0,15.0,1,99,1.0,97,20.0
971,Confessions Part II,Usher,2004,48,1.0,13.0,2,48,1.0,48,25.0
972,Confident,Demi Lovato,2015,84,21.0,9.0,1,84,1.0,75,20.0
973,Confident,Justin Bieber,2013,41,41.0,1.0,1,84,3.0,84,3.0
974,Congratulations,Post Malone,2016,83,8.0,26.0,2,90,2.0,49,50.0
975,Conqueror,Empire Cast,2015,42,42.0,1.0,1,86,2.0,86,2.0
976,Consequences,Camila Cabello,2018,97,51.0,9.0,1,97,1.0,72,12.0
977,Consider Me Gone,Reba,2009,96,38.0,10.0,1,96,1.0,94,19.0
978,Control,Puddle Of Mudd,2001,75,68.0,3.0,1,100,20.0,100,20.0
979,Control Myself,LL Cool J,2006,93,4.0,4.0,1,99,11.0,99,11.0
980,Controlla,Drake,2016,34,16.0,11.0,1,49,26.0,49,26.0
981,Cookie Jar,Gym Class Heroes,2008,93,59.0,3.0,1,98,5.0,98,5.0
982,Cool,Gwen Stefani,2005,86,13.0,8.0,1,86,1.0,64,20.0
983,Cool,Jonas Brothers,2019,27,27.0,1.0,1,75,2.0,55,12.0
984,Cool For The Summer,Demi Lovato,2015,36,11.0,10.0,2,81,20.0,81,20.0
985,Cool Girl,Tove Lo,2016,84,84.0,1.0,1,100,3.0,100,5.0
986,Cool Kids,Echosmith,2014,87,13.0,15.0,1,87,1.0,46,23.0
987,Cooler Than Me,Mike Posner,2010,85,6.0,10.0,4,85,1.0,48,29.0
988,Cop Car,Keith Urban,2014,74,41.0,7.0,2,86,18.0,86,18.0
989,Corazon,"Maluma, Nego do Borel",2018,92,87.0,3.0,1,100,5.0,97,9.0
990,Corona And Lime,Shwayze,2008,26,23.0,2.0,1,91,8.0,91,8.0
991,Cost Of Livin',Ronnie Dunn,2011,96,86.0,8.0,1,100,2.0,86,8.0
992,Cough Syrup,Young The Giant,2012,95,95.0,1.0,1,100,3.0,100,3.0
993,Could I Have This Kiss Forever,"Whitney Houston, Enrique Iglesias",2000,74,52.0,8.0,1,100,18.0,97,19.0
994,Could It Be,Charlie Worsham,2013,97,94.0,2.0,1,97,1.0,94,2.0
995,Could It Be,Jaheim,2000,99,26.0,12.0,1,99,1.0,76,20.0
996,Couldn't Last A Moment,Collin Raye,2000,91,43.0,15.0,1,91,1.0,89,20.0
997,Countdown,Beyonce,2011,85,71.0,4.0,1,91,8.0,91,15.0
998,Counting Stars,OneRepublic,2013,32,2.0,29.0,2,80,3.0,50,68.0
999,Country Boy,Aaron Lewis,2011,100,87.0,2.0,1,100,1.0,87,2.0
1000,Country Boy,Alan Jackson,2008,84,49.0,12.0,1,94,18.0,92,19.0
1001,Country Comes To Town,Toby Keith,2000,82,54.0,11.0,1,95,14.0,93,15.0
1002,Country Girl,Luke Bryan,2011,22,22.0,1.0,1,55,20.0,55,20.0
1003,Country Grammar,Nelly,2000,100,7.0,21.0,2,100,1.0,49,34.0
1004,Country Man,Luke Bryan,2008,100,74.0,7.0,1,100,1.0,93,9.0
1005,Country Must Be Country Wide,Brantley Gilbert,2011,100,50.0,21.0,1,100,1.0,50,21.0
1006,Country Nation,Brad Paisley,2016,94,94.0,1.0,2,94,1.0,94,2.0
1007,Country Song,Seether,2011,74,72.0,10.0,1,97,16.0,96,18.0
1008,Country Strong,Gwyneth Paltrow,2011,81,81.0,1.0,1,87,2.0,87,2.0
1009,Cowboy,Kid Rock,1999,82,82.0,1.0,2,95,5.0,95,5.0
1010,Cowboy Casanova,Carrie Underwood,2009,96,11.0,2.0,1,96,1.0,61,20.0
1011,Cowboy Take Me Away,Dixie Chicks,1999,79,27.0,10.0,3,79,1.0,59,20.0
1012,Cowboys And Angels,Dustin Lynch,2012,100,40.0,19.0,1,100,1.0,47,22.0
1013,Cowboys Like Us,George Strait,2003,76,38.0,12.0,1,97,19.0,97,19.0
1014,Cowgirls Don't Cry,"Brooks, Dunn",2008,85,44.0,16.0,2,85,1.0,77,20.0
1015,Cozy Little Christmas,Katy Perry,2018,68,53.0,2.0,1,68,1.0,53,2.0
1016,Crack A Bottle,"Eminem, Dr. Dre, 50 Cent",2009,78,1.0,4.0,1,86,17.0,86,17.0
1017,Cranes In The Sky,Solange,2016,74,74.0,1.0,1,99,2.0,99,2.0
1018,Crank That,Soulja Boy Tell'em,2007,47,1.0,8.0,7,47,1.0,45,32.0
1019,Crash,Gwen Stefani,2006,95,49.0,4.0,2,100,8.0,100,8.0
1020,Crash And Burn,Savage Garden,2000,75,24.0,8.0,2,87,20.0,87,20.0
1021,Crash And Burn,Thomas Rhett,2015,96,36.0,15.0,1,96,1.0,62,20.0
1022,Crash My Party,Luke Bryan,2013,18,18.0,1.0,1,56,3.0,50,21.0
1023,Craving You,Thomas Rhett,2017,53,39.0,14.0,1,100,3.0,60,20.0
1024,Crawl,Chris Brown,2009,68,53.0,5.0,1,96,9.0,96,9.0
1025,Crawling,Linkin Park,2001,79,79.0,1.0,3,96,15.0,94,20.0
1026,Crawling Back To You,Daughtry,2011,41,41.0,1.0,1,100,6.0,99,10.0
1027,Crawling In The Dark,Hoobastank,2002,77,68.0,6.0,1,100,15.0,99,19.0
1028,Crazier,Taylor Swift,2009,72,17.0,4.0,1,90,8.0,90,8.0
1029,Crazy,Britney Spears,1999,62,10.0,9.0,1,99,20.0,99,20.0
1030,Crazy,Gnarls Barkley,2006,91,2.0,10.0,6,91,1.0,43,28.0
1031,Crazy,Javier,2003,96,95.0,6.0,1,100,8.0,100,8.0
1032,Crazy,K,2000,69,11.0,15.0,3,69,1.0,43,25.0
1033,Crazy Bitch,Buckcherry,2006,99,59.0,10.0,1,99,1.0,68,20.0
1034,Crazy For This Girl,Evan And Jaron,2000,58,15.0,18.0,1,58,1.0,30,23.0
1035,Crazy Girl,Eli Young Band,2011,59,30.0,34.0,1,100,6.0,42,36.0
1036,Crazy In Love,Beyonce,2003,58,1.0,8.0,8,58,1.0,46,27.0
1037,Crazy Little Thing Called Love,Dwight Yoakam,1999,64,64.0,1.0,1,100,6.0,100,6.0
1038,Crazy Town,Jason Aldean,2010,92,51.0,10.0,1,98,17.0,98,17.0
1039,Crew,GoldLink,2017,94,45.0,14.0,4,98,2.0,50,21.0
1040,Crew Love,Drake,2012,100,80.0,10.0,1,100,1.0,96,20.0
1041,Criminal,Britney Spears,2011,92,55.0,4.0,1,92,1.0,81,6.0
1042,Criminal,"Natti Natasha, Ozuna",2017,99,95.0,2.0,1,99,1.0,98,3.0
1043,Crooked Smile,J. Cole,2013,74,27.0,14.0,2,74,1.0,46,20.0
1044,Cross Me,Ed Sheeran,2019,34,34.0,1.0,1,49,3.0,39,5.0
1045,Cross The Border,Philly's Most Wanted,2001,98,98.0,1.0,4,100,5.0,100,5.0
1046,Crowded,Jeannie Ortega,2006,96,93.0,4.0,1,99,3.0,95,5.0
1047,Cruise,Florida Georgia Line,2012,99,4.0,38.0,1,99,1.0,50,54.0
1048,Cruisin' For A Bruisin',"Ross Lynch, Grace Phipps And Jason Evigan",2013,82,82.0,1.0,1,98,3.0,98,3.0
1049,Crush,David Archuleta,2008,2,2.0,1.0,1,47,22.0,39,23.0
1050,Crush Tonight,Fat Joe,2002,89,77.0,3.0,3,97,6.0,97,6.0
1051,Crushed Up,Future,2019,46,43.0,3.0,1,97,5.0,97,5.0
1052,Crushin' It,Brad Paisley,2015,98,66.0,12.0,1,100,3.0,97,15.0
1053,Cry,Faith Hill,2002,70,33.0,6.0,3,86,18.0,50,25.0
1054,Cry For You,September,2008,94,74.0,7.0,1,94,1.0,88,10.0
1055,Cry Me A River,Justin Timberlake,2002,44,3.0,7.0,1,58,19.0,58,19.0
1056,Cry Pretty,Carrie Underwood,2018,48,48.0,1.0,1,96,2.0,90,12.0
1057,Crybaby,Mariah Carey,2000,28,28.0,1.0,1,95,7.0,95,7.0
1058,Cryin' For Me,Toby Keith,2009,97,73.0,10.0,1,97,1.0,77,12.0
1059,Crying In The Club,Camila Cabello,2017,47,47.0,1.0,1,73,9.0,73,9.0
1060,Crying On A Suitcase,Casey James,2013,100,88.0,6.0,2,100,1.0,98,9.0
1061,Crying Out For Me,Mario,2007,97,33.0,15.0,1,97,1.0,47,20.0
1062,Cuando Me Enamoro,Enrique Iglesias,2010,99,89.0,3.0,1,100,5.0,100,5.0
1063,Cuddy Buddy,Mike Jones,2008,85,76.0,2.0,1,97,3.0,97,3.0
1064,Culo,Pitbull,2004,84,32.0,8.0,1,84,1.0,74,20.0
1065,Cupid Shuffle,Cupid,2007,93,66.0,5.0,1,100,12.0,99,13.0
1066,Cups,Anna Kendrick,2013,93,6.0,32.0,2,95,12.0,45,44.0
1067,Curve,Gucci Mane,2017,67,67.0,1.0,1,92,2.0,71,3.0
1068,Customer,Raheem DeVaughn,2008,90,76.0,4.0,1,100,9.0,100,9.0
1069,Cut Her Off,KCamp,2014,89,49.0,11.0,1,90,2.0,83,20.0
1070,Cut It,O.T. Genasis,2016,94,35.0,17.0,1,94,1.0,40,20.0
1071,Cyclone,Baby Bash,2007,65,7.0,13.0,2,65,1.0,47,30.0
1072,DJ Got Us Fallin' In Love,Usher,2010,19,4.0,11.0,1,47,34.0,47,34.0
1073,DJ Play A Love Song,Jamie Foxx,2006,90,45.0,7.0,1,94,14.0,94,14.0
1074,DNA,BTS,2017,85,67.0,2.0,1,98,4.0,98,4.0
1075,DNA.,Kendrick Lamar,2017,4,4.0,1.0,1,66,18.0,63,20.0
1076,DOA,Foo Fighters,2005,86,68.0,6.0,2,90,12.0,90,12.0
1077,DONE.,The Band Perry,2013,87,43.0,17.0,1,94,3.0,67,20.0
1078,Daddy Lessons,Beyonce,2016,41,41.0,1.0,1,66,2.0,66,2.0
1079,Daddy Won't Sell The Farm,Montgomery Gentry,2000,87,79.0,4.0,1,96,6.0,96,6.0
1080,Damaged,Danity Kane,2008,64,10.0,9.0,2,64,1.0,45,22.0
1081,Damaged,TLC,2003,59,53.0,2.0,2,71,4.0,71,4.0
1082,Dame Tu Cosita,"Pitbull, El Chombo, Karol G",2018,81,36.0,3.0,1,89,9.0,89,9.0
1083,Damn!,YoungBloodZ,2003,85,4.0,13.0,3,85,1.0,50,32.0
1084,Dance,Big Sean,2011,93,10.0,12.0,1,93,1.0,46,24.0
1085,Dance Again,Jennifer Lopez,2012,27,17.0,6.0,1,100,16.0,90,18.0
1086,Dance For You,Beyonce,2012,100,78.0,4.0,1,100,1.0,95,15.0
1087,Dance Tonight,Lucy Pearl,2000,80,36.0,11.0,1,92,19.0,92,19.0
1088,Dance Tonight,Paul McCartney,2007,69,69.0,1.0,1,72,2.0,72,2.0
1089,Dance With Me,112,2001,73,39.0,8.0,1,86,20.0,86,20.0
1090,Dance With Me,Debelah Morgan,2000,91,8.0,24.0,1,91,1.0,49,28.0
1091,Dance With My Father,Luther Vandross,2003,71,38.0,14.0,1,75,2.0,58,20.0
1092,"Dance, Dance",Fall Out Boy,2005,66,9.0,11.0,1,66,1.0,47,31.0
1093,Dancin',Guy,1999,46,19.0,3.0,1,94,11.0,94,11.0
1094,Dancin' Away With My Heart,Lady Antebellum,2011,50,46.0,15.0,1,96,2.0,85,19.0
1095,Dancing On My Own,Calum Scott,2017,94,93.0,2.0,1,94,1.0,93,2.0
1096,Dancing Queen,A*Teens,2000,97,95.0,4.0,1,100,5.0,100,5.0
1097,Dancing With A Stranger,"Sam Smith, Normani",2019,33,7.0,14.0,3,41,2.0,15,24.0
1098,Danger,Erykah Badu,2003,94,82.0,9.0,1,96,4.0,95,11.0
1099,Danger,Mystikal,2000,77,14.0,9.0,1,77,1.0,62,19.0
1100,Dangerous,David Guetta,2014,96,56.0,7.0,1,97,14.0,87,15.0
1101,Dangerous,Kardinal Offishall,2008,91,5.0,16.0,1,91,1.0,50,27.0
1102,Dangerous,Meek Mill,2018,79,31.0,16.0,1,91,3.0,46,20.0
1103,Dangerous Woman,Ariana Grande,2016,10,8.0,11.0,1,48,21.0,48,21.0
1104,Dangerously In Love,Beyonce,2004,76,57.0,3.0,2,100,20.0,100,20.0
1105,Dani California,Red Hot Chili Peppers,2006,24,6.0,6.0,2,49,26.0,49,26.0
