,Name,Artists,Year,Debut.rank,Peak.position,Weeks.to.peak,Weeks.at.peak,Lowest.rank,Weeks.to.low,Ending.rank,Total.weeks.on
75,A Little Bit Stronger,Sara Evans,2011,98,34.0,19.0,1,98,1.0,49,21.0
76,A Little Gasoline,Terri Clark,2000,75,75.0,1.0,1,99,5.0,99,6.0
77,A Little More Country Than That,Easton Corbin,2010,100,42.0,11.0,1,100,1.0,94,20.0
78,A Little More Summertime,Jason Aldean,2016,90,52.0,10.0,1,90,1.0,87,13.0
79,A Little Party Never Killed Nobody,"Fergie, Q",2013,77,77.0,1.0,1,93,2.0,93,2.0
80,A Little Too Late,Toby Keith,2006,93,53.0,11.0,1,93,1.0,93,15.0
81,A Long Walk,Jill Scott,2001,78,43.0,7.0,1,93,18.0,90,19.0
82,A Lot,21 Savage,2019,37,12.0,7.0,1,49,23.0,49,23.0
83,A Lot Of Things Different,Kenny Chesney,2002,74,55.0,4.0,1,96,15.0,96,15.0
84,A Man Ain't Made Of Stone,Randy Travis,1999,84,82.0,3.0,1,87,4.0,87,4.0
85,A Milli,Lil Wayne,2008,60,6.0,14.0,2,60,1.0,41,23.0
86,A Moment Like This,Kelly Clarkson,2002,60,1.0,2.0,2,86,19.0,86,19.0
87,A New Day Has Come,Celine Dion,2002,73,22.0,10.0,1,81,20.0,81,20.0
88,A Night To Remember,Joe Diffie,1999,43,38.0,4.0,2,89,11.0,89,11.0
89,A Public Affair,Jessica Simpson,2006,39,14.0,5.0,1,81,12.0,81,12.0
90,A Real Fine Place To Start,Sara Evans,2005,99,38.0,12.0,1,99,1.0,83,20.0
91,A Rose By Any Other Name,Teena Marie,2004,97,97.0,1.0,2,97,1.0,97,2.0
92,A Sky Full Of Stars,Coldplay,2014,24,10.0,3.0,1,71,7.0,44,26.0
93,A Thousand Miles,Vanessa Carlton,2002,80,5.0,12.0,2,80,1.0,46,40.0
94,A Thousand Years,Christina Perri,2011,74,31.0,17.0,1,98,29.0,98,29.0
95,A Woman Like You,Lee Brice,2011,96,33.0,14.0,1,96,1.0,52,20.0
96,A Woman's Love,Alan Jackson,2007,89,73.0,6.0,4,90,12.0,90,12.0
97,A Woman's Worth,Alicia Keys,2001,90,7.0,16.0,1,90,1.0,30,20.0
98,A Year Without Rain,"Selena Gomez, The Scene",2010,35,35.0,1.0,1,100,5.0,77,8.0
99,A.D.I.D.A.S.,Killer Mike,2003,76,60.0,4.0,2,100,9.0,100,9.0
100,AM To PM,Christina Milian,2001,99,27.0,9.0,2,99,1.0,73,20.0
101,ASAP,T.I.,2005,84,75.0,6.0,1,95,8.0,95,8.0
102,ATM,J. Cole,2018,6,6.0,1.0,1,89,5.0,89,5.0
103,About The Money,T.I.,2014,99,42.0,12.0,1,99,1.0,56,20.0
104,About Us,Brooke Hogan,2006,53,33.0,2.0,1,83,11.0,80,17.0
105,About You,Trey Songz,2015,98,83.0,3.0,1,98,1.0,83,3.0
106,About You Now,Miranda Cosgrove,2009,51,47.0,2.0,1,90,4.0,90,4.0
107,Absolutely,Nine Days,2000,85,6.0,11.0,2,85,1.0,48,25.0
108,Acapella,Karmin,2013,98,72.0,2.0,1,98,1.0,93,8.0
109,Accidentally In Love,Counting Crows,2004,61,39.0,9.0,1,82,19.0,82,19.0
110,According To You,Orianthi,2009,67,17.0,12.0,2,67,1.0,48,21.0
111,Acquainted,The Weeknd,2015,60,60.0,1.0,1,100,4.0,92,18.0
112,Act A Fool,Ludacris,2003,72,32.0,6.0,1,100,11.0,100,11.0
113,Act Up,City Girls,2019,77,26.0,15.0,1,77,1.0,34,17.0
114,Addicted,Saving Abel,2008,96,20.0,22.0,1,98,2.0,48,34.0
115,Addicted,Simple Plan,2003,73,45.0,7.0,1,88,19.0,88,19.0
116,Addictive,Truth Hurts,2002,71,9.0,8.0,4,71,1.0,52,19.0
117,Adore You,Miley Cyrus,2013,42,21.0,10.0,1,92,18.0,92,18.0
118,Adorn,Miguel,2012,82,17.0,15.0,2,82,1.0,46,33.0
119,Adventure Of A Lifetime,Coldplay,2015,55,13.0,14.0,1,76,20.0,76,20.0
