,Name,Artists,Genre,solo_genre,og_genre_count
1,'03 Bonnie & Clyde,Jay,"West Coast,R&;B,Rap",r&b,3
2,'03 Bonnie & Clyde,Jay,"West Coast,R&;B,Rap",rap,3
3,...Ready For It?,Taylor Swift,"Electronic,Electro-Pop,Pop",dance/electronic/house,3
4,...Ready For It?,Taylor Swift,"Electronic,Electro-Pop,Pop",pop,3
6,0 To 100 / The Catch Up,Drake,"Canada,Producer,Rap",rap,3
7,1,800,"Hip-Hop,Canada,DMV,Pop,Rap",hip hop,5
9,1,800,"Hip-Hop,Canada,DMV,Pop,Rap",pop,5
10,1,800,"Hip-Hop,Canada,DMV,Pop,Rap",rap,5
11,1 Thing,Amerie,"Pop,R&;B",pop,2
12,1 Thing,Amerie,"Pop,R&;B",r&b,2
13,"1, 2 Step",Ciara,"R&;B,Rap",r&b,2
14,"1, 2 Step",Ciara,"R&;B,Rap",rap,2
16,1.5,21 Savage,"Motown,Trap,Rap",rap,3
17,10 Bands,Drake,"Trap,Canada,Rap",rap,3
20,10 Freaky Girls,Metro Boomin,"Atlanta,Trap,Rap",rap,3
21,100,The Game,"Trap,Canada,West Coast,Rap",rap,4
23,100 Grandkids,Mac Miller,Rap,rap,1
24,100 Years,Five For Fighting,"Pop,Ballad,Piano,Rock",pop,4
26,100 Years,Five For Fighting,"Pop,Ballad,Piano,Rock",rock,4
27,11-Jul,Beyonce,"Pop,R&;B",pop,2
28,11-Jul,Beyonce,"Pop,R&;B",r&b,2
29,1234,Feist,"Baroque Pop,Folk,Indie Rock,Rock",pop,4
31,1234,Feist,"Baroque Pop,Folk,Indie Rock,Rock",rock,4
33,14-Mar,Drake,"Canada,R&;B,Rap",r&b,3
34,14-Mar,Drake,"Canada,R&;B,Rap",rap,3
35,1400 / 999 Freestyle,Trippie Redd,"Emo Rap,Trap,Rap",rap,3
36,143,Bobby Brackins,Rap,rap,1
37,15 Minutes,Marc Nelson,Pop,pop,1
38,17 Again,Brantley Gilbert,"Country,Rock",country,2
39,17 Again,Brantley Gilbert,"Country,Rock",rock,2
41,18,One Direction,"Boy Band,UK,Pop",pop,3
42,19 Somethin',Mark Wills,Country,country,1
43,1901,Phoenix,"Adult Alternative,Alternative Rock,Synth Rock,Electronic Rock,Indie Rock,Rock",alternative/indie,6
44,1901,Phoenix,"Adult Alternative,Alternative Rock,Synth Rock,Electronic Rock,Indie Rock,Rock",rock,6
45,1942,G,Rap,rap,1
46,1942 Flows,Meek Mill,Rap,rap,1
47,1973,James Blunt,Pop,pop,1
48,1985,Bowling For Soup,"Pop-Punk,Rock",pop,2
49,1985,Bowling For Soup,"Pop-Punk,Rock",rock,2
50,1994,Jason Aldean,"Rock,Country,Rap",rock,3
51,1994,Jason Aldean,"Rock,Country,Rap",country,3
52,1994,Jason Aldean,"Rock,Country,Rap",rap,3
53,1999,Prince,"Dance,Funk,Pop,Rock",dance/electronic/house,4
55,1999,Prince,"Dance,Funk,Pop,Rock",pop,4
56,1999,Prince,"Dance,Funk,Pop,Rock",rock,4
57,1st Time,Yung Joc,Rap,rap,1
58,2 On,Tinashe,"R&;B,Rap",r&b,2
59,2 On,Tinashe,"R&;B,Rap",rap,2
61,2 Phones,Kevin Gates,"Memes,Trap,Rap",rap,3
62,2 Reasons,Trey Songz,"R&;B,Rap",r&b,2
63,2 Reasons,Trey Songz,"R&;B,Rap",rap,2
64,2 Step,Unk,Rap,rap,1
65,2012,Jay Sean,"R&;B,Rap",r&b,2
66,2012,Jay Sean,"R&;B,Rap",rap,2
67,21 Guns,Green Day,"Alternative Rock,Rock",rock,2
68,21 Questions,50 Cent,Rap,rap,1
69,21st Century Girl,WILLOW,Pop,pop,1
70,22,Taylor Swift,"Pop Country,Pop-Rock,Dance-Pop,Country,Pop",country,5
71,22,Taylor Swift,"Pop Country,Pop-Rock,Dance-Pop,Country,Pop",pop,5
72,23,Mike WiLL Made,Rap,rap,1
73,24 Hours,TeeFLii,"R&;B,Rap",r&b,2
74,24 Hours,TeeFLii,"R&;B,Rap",rap,2
75,24's,T.I.,Rap,rap,1
76,24/7,Kevon Edmonds,Pop,pop,1
78,24/7,Meek Mill,"East Coast,UK,R&;B,Rap",r&b,4
79,24/7,Meek Mill,"East Coast,UK,R&;B,Rap",rap,4
80,24K Magic,Bruno Mars,"Funk-Pop,Funk,Pop",pop,3
82,25 To Life,Eminem,Rap,rap,1
83,2U,David Guetta,"Electro-Pop,Dance,Pop",pop,3
84,2U,David Guetta,"Electro-Pop,Dance,Pop",dance/electronic/house,3
85,3,Britney Spears,"Electronic,Dance,Electro-Pop,Pop",dance/electronic/house,4
86,3,Britney Spears,"Electronic,Dance,Electro-Pop,Pop",pop,4
87,3 Headed Snake,Gunna,"Trap,Rap",rap,2
88,3 Little Words,Nu Flavor,Pop,pop,1
89,3 Peat,Lil Wayne,Rap,rap,1
91,30 For 30 Freestyle,Drake,"Canada,Rap",rap,2
92,31 Days,Future,Rap,rap,1
94,365,"Zedd, Katy Perry","West Coast,Dance-Pop,Electro,Electro-Pop,Electronic,Dance,Pop",pop,7
95,365,"Zedd, Katy Perry","West Coast,Dance-Pop,Electro,Electro-Pop,Electronic,Dance,Pop",dance/electronic/house,7
97,4 Da Gang,Future,"Atlanta,Trap,Rap",rap,3
98,4 In The Morning,Gwen Stefani,"Alternative Rock,Rock,Alternative Pop,Pop",rock,4
99,4 In The Morning,Gwen Stefani,"Alternative Rock,Rock,Alternative Pop,Pop",pop,4
101,4 Minutes,Glee Cast,"TV,Dance-Pop,Dance,Cover,Screen,Soundtrack,Pop",pop,7
102,4 Minutes,Glee Cast,"TV,Dance-Pop,Dance,Cover,Screen,Soundtrack,Pop",dance/electronic/house,7
103,4 Minutes,Madonna,"Dance,Pop",dance/electronic/house,2
104,4 Minutes,Madonna,"Dance,Pop",pop,2
106,4 My Town,Birdman,"Canada,Rap",rap,2
108,4 Your Eyez Only,J. Cole,"Boom Bap,Rap",rap,2
109,"4, 5, 6",Sole,Rap,rap,1
111,44 More,Logic,"DMV,Trap,Rap",rap,3
113,4422,Drake,"UK,Alternative R&;B,Canada,R&;B",alternative/indie,4
114,4422,Drake,"UK,Alternative R&;B,Canada,R&;B",r&b,4
116,4:00 AM,2 Chainz,"Atlanta,Trap,Rap",rap,3
118,4:44,JAY,"Soul,Rap",rap,2
120,4th Dimension,KIDS SEE GHOSTS,"Experimental,Rap",rap,2
121,5 O'Clock,T,"R&;B,Rap",r&b,2
122,5 O'Clock,T,"R&;B,Rap",rap,2
124,5 Star,Yo Gotti,"Remix,Rap",rap,2
125,50 Ways To Say Goodbye,Train,"Pop-Rock,Pop,Rock",pop,3
126,50 Ways To Say Goodbye,Train,"Pop-Rock,Pop,Rock",rock,3
127,6 Foot 7 Foot,Lil Wayne,"Hip-Hop,Producer,Memes,Rap",hip hop,4
129,6 Foot 7 Foot,Lil Wayne,"Hip-Hop,Producer,Memes,Rap",rap,4
130,6 God,Drake,"Alternative R&;B,Producer,Trap,Canada,Rap",alternative/indie,5
132,6 God,Drake,"Alternative R&;B,Producer,Trap,Canada,Rap",rap,5
134,6 Inch,Beyonce,"Canada,R&;B,Pop",r&b,3
135,6 Inch,Beyonce,"Canada,R&;B,Pop",pop,3
136,6 Man,Drake,"Trap,Canada,Rap",rap,3
138,66,Lil Yachty,"Cloud Rap,Trap,Rap",rap,3
139,679,Fetty Wap,"R&;B,Trap,Rap",r&b,3
140,679,Fetty Wap,"R&;B,Trap,Rap",rap,3
142,7 Days,Craig David,"UK,R&;B,Pop",r&b,3
143,7 Days,Craig David,"UK,R&;B,Pop",pop,3
145,7 Rings,Ariana Grande,"Memes,Trap,R&;B,Pop",rap,4
146,7 Rings,Ariana Grande,"Memes,Trap,R&;B,Pop",r&b,4
147,7 Rings,Ariana Grande,"Memes,Trap,R&;B,Pop",pop,4
148,7 Things,Miley Cyrus,"Pop-Rock,Pop",pop,2
149,7 Years,Lukas Graham,"Pop-Rock,Adult Alternative,Adult Contemporary,Piano,Memes,Scandinavia,Danmark,Pop",pop,8
150,7 Years,Lukas Graham,"Pop-Rock,Adult Alternative,Adult Contemporary,Piano,Memes,Scandinavia,Danmark,Pop",alternative/indie,8
152,8,Billie Eilish,"Alternative,YouTube,Singer-Songwriter,Alternative Pop,Pop",alternative/indie,5
154,8,Billie Eilish,"Alternative,YouTube,Singer-Songwriter,Alternative Pop,Pop",pop,5
156,8 Out Of 10,Drake,"Canada,Rap",rap,2
157,808,Blaque,Rap,rap,1
158,80s Mercedes,Maren Morris,Country,country,1
159,8th Of November,"Big, Rich",Country,country,1
160,8th World Wonder,Kimberley Locke,Pop,pop,1
162,9,Drake,"Canada,Rap",rap,2
164,911,Wyclef Jean,"Haiti,R&;B,Soul,Soul Pop,Pop,Rap",r&b,6
165,911,Wyclef Jean,"Haiti,R&;B,Soul,Soul Pop,Pop,Rap",pop,6
166,911,Wyclef Jean,"Haiti,R&;B,Soul,Soul Pop,Pop,Rap",rap,6
167,92 Explorer,Post Malone,Pop,pop,1
168,99 Problems,JAY,"Rap Rock,Rock,East Coast,Hip-Hop,Rap",rock,5
170,99 Problems,JAY,"Rap Rock,Rock,East Coast,Hip-Hop,Rap",hip hop,5
171,99 Problems,JAY,"Rap Rock,Rock,East Coast,Hip-Hop,Rap",rap,5
172,A Bay Bay,Hurricane Chris,Rap,rap,1
173,A Boy Is A Gun,"Tyler, The Creator","Rap,Neo Soul,Alternative R&;B,Experimental,Alternative,West Coast,Alternative Pop,R&;B",rap,8
175,A Boy Is A Gun,"Tyler, The Creator","Rap,Neo Soul,Alternative R&;B,Experimental,Alternative,West Coast,Alternative Pop,R&;B",alternative/indie,8
176,A Boy Is A Gun,"Tyler, The Creator","Rap,Neo Soul,Alternative R&;B,Experimental,Alternative,West Coast,Alternative Pop,R&;B",pop,8
177,A Boy Is A Gun,"Tyler, The Creator","Rap,Neo Soul,Alternative R&;B,Experimental,Alternative,West Coast,Alternative Pop,R&;B",r&b,8
178,A Different World,Bucky Covington,Pop,pop,1
179,A Feelin' Like That,Gary Allan,Pop,pop,1
180,A Few Questions,Clay Walker,Pop,pop,1
181,A Girl Like You,Easton Corbin,Country,country,1
182,A Good Day To Run,Darryl Worley,Pop,pop,1
183,A Great Big Sled,The Killers,Rock,rock,1
184,A Guy Walks Into A Bar,Tyler Farr,Country,country,1
185,A Guy With A Girl,Blake Shelton,Country,country,1
186,A Holly Jolly Christmas,Burl Ives,Pop,pop,1
188,A House Is Not A Home,Glee Cast,"TV,Soundtrack,Screen,Cover,Mashup,Pop",pop,6
190,A La Primera Persona,Alejandro Sanz,"En Espa\xc3\xb1ol,Rock",rock,2
191,A Lie,French Montana,Rap,rap,1
192,A Light That Never Comes,"Linkin Park, Steve Aoki","Rock,Electronic Rock,Pop,Electro House,Electro,Dance,Electronic",rock,7
193,A Light That Never Comes,"Linkin Park, Steve Aoki","Rock,Electronic Rock,Pop,Electro House,Electro,Dance,Electronic",pop,7
194,A Light That Never Comes,"Linkin Park, Steve Aoki","Rock,Electronic Rock,Pop,Electro House,Electro,Dance,Electronic",dance/electronic/house,7
196,A Little Bit Longer,Jonas Brothers,"Pop,Pop-Rock,Rock",pop,3
197,A Little Bit Longer,Jonas Brothers,"Pop,Pop-Rock,Rock",rock,3
198,A Little Bit Stronger,Sara Evans,Country,country,1
199,A Little Gasoline,Terri Clark,Pop,pop,1
200,A Little More Country Than That,Easton Corbin,Country,country,1
201,A Little More Summertime,Jason Aldean,Country,country,1
203,A Little Party Never Killed Nobody,"Fergie, Q","Soundtrack,Pop,Rap",pop,3
204,A Little Party Never Killed Nobody,"Fergie, Q","Soundtrack,Pop,Rap",rap,3
205,A Little Too Late,Toby Keith,"Country,Rock",country,2
206,A Little Too Late,Toby Keith,"Country,Rock",rock,2
207,A Little Too Much,Shawn Mendes,Pop,pop,1
209,A Long Walk,Jill Scott,"Soul,R&;B,Rock",r&b,3
210,A Long Walk,Jill Scott,"Soul,R&;B,Rock",rock,3
212,A Lot,21 Savage,"East Coast,Trap,Rap",rap,3
213,A Lot Of Things Different,Kenny Chesney,"Country,Rock",country,2
214,A Lot Of Things Different,Kenny Chesney,"Country,Rock",rock,2
215,A Man Ain't Made Of Stone,Randy Travis,Country,country,1
216,A Man Who Was Gonna Die Young,Eric Church,Country,country,1
218,A Milli,Lil Wayne,"Crunk,Rap",rap,2
220,A Million Dreams,P!nk,"Soundtrack,Cover,Pop",pop,3
222,A Moment Like This,Kelly Clarkson,"American Idol,Ballad,Pop",pop,3
223,A New Day Has Come,Celine Dion,"Pop,Rock",pop,2
224,A New Day Has Come,Celine Dion,"Pop,Rock",rock,2
225,A Night To Remember,Joe Diffie,Pop,pop,1
226,A Public Affair,Jessica Simpson,"Rock,Dance,Pop",rock,3
227,A Public Affair,Jessica Simpson,"Rock,Dance,Pop",dance/electronic/house,3
228,A Public Affair,Jessica Simpson,"Rock,Dance,Pop",pop,3
229,A Real Fine Place To Start,Sara Evans,Country,country,1
230,A Rose By Any Other Name,Teena Marie,R&;B,r&b,1
232,A Sky Full Of Stars,Coldplay,"UK,Electronic Rock,Alternative Rock,Alternative,Electronic,Rock",rock,6
233,A Sky Full Of Stars,Coldplay,"UK,Electronic Rock,Alternative Rock,Alternative,Electronic,Rock",alternative/indie,6
234,A Sky Full Of Stars,Coldplay,"UK,Electronic Rock,Alternative Rock,Alternative,Electronic,Rock",dance/electronic/house,6
236,A Thousand Miles,Vanessa Carlton,"Singer-Songwriter,Pop,Rock",pop,3
237,A Thousand Miles,Vanessa Carlton,"Singer-Songwriter,Pop,Rock",rock,3
239,A Thousand Years,Christina Perri,"Screen,Soundtrack,Pop",pop,3
240,A Woman Like You,Lee Brice,"Country,News",country,2
242,A Woman's Love,Alan Jackson,Country,country,1
244,A Woman's Worth,Alicia Keys,"Neo Soul,Soul,Pop,R&;B",pop,4
245,A Woman's Worth,Alicia Keys,"Neo Soul,Soul,Pop,R&;B",r&b,4
247,A Year Without Rain,"Selena Gomez, The Scene","Electro,Dance-Pop,Dance,Eurodance,Synth-Pop,Electro-Pop,Pop",pop,7
248,A Year Without Rain,"Selena Gomez, The Scene","Electro,Dance-Pop,Dance,Eurodance,Synth-Pop,Electro-Pop,Pop",dance/electronic/house,7
249,A.D.I.D.A.S.,Killer Mike,Rap,rap,1
251,A.M.,One Direction,"Boy Band,UK,Pop",pop,3
253,ABC,Glee Cast,"Screen,Soundtrack,Pop",pop,3
254,AM To PM,Christina Milian,"Dance-Pop,Pop,R&;B",pop,3
255,AM To PM,Christina Milian,"Dance-Pop,Pop,R&;B",r&b,3
256,ASAP,T.I.,Rap,rap,1
257,ASMR,21 Savage,"Trap,Rap",rap,2
258,ATM,J. Cole,"Conscious Hip-Hop,Trap,Rap",hip hop,3
259,ATM,J. Cole,"Conscious Hip-Hop,Trap,Rap",rap,3
261,About The Money,T.I.,"Atlanta,Trap,Rap",rap,3
262,About Us,Brooke Hogan,Rap,rap,1
263,About You,Trey Songz,R&;B,r&b,1
265,About You Now,Miranda Cosgrove,"Cover,Power Pop,Pop-Rock,Electro-Pop,Soundtrack,Pop",pop,6
266,Absolute,The Fray,Rap,rap,1
267,Absolutely,Nine Days,"Adult Alternative,Pop-Rock,Alternative Rock,Power Pop,Rock",alternative/indie,5
268,Absolutely,Nine Days,"Adult Alternative,Pop-Rock,Alternative Rock,Power Pop,Rock",pop,5
269,Absolutely,Nine Days,"Adult Alternative,Pop-Rock,Alternative Rock,Power Pop,Rock",rock,5
270,Acapella,Karmin,"Pop,Rap",pop,2
271,Acapella,Karmin,"Pop,Rap",rap,2
272,Accidental Racist,Brad Paisley,"Country,Rock",country,2
273,Accidental Racist,Brad Paisley,"Country,Rock",rock,2
275,Accidentally In Love,Counting Crows,"Screen,Soundtrack,Pop-Rock,Alternative Rock,Rock",pop,5
276,Accidentally In Love,Counting Crows,"Screen,Soundtrack,Pop-Rock,Alternative Rock,Rock",rock,5
277,According To You,Orianthi,"Rock,Pop-Rock",rock,2
278,According To You,Orianthi,"Rock,Pop-Rock",pop,2
279,Achy Breaky 2,Buck 22,Rap,rap,1
281,Acquainted,The Weeknd,"Canada,Pop,R&;B",pop,3
282,Acquainted,The Weeknd,"Canada,Pop,R&;B",r&b,3
283,Act A Fool,Ludacris,Rap,rap,1
284,Act Right,Yo Gotti,Rap,rap,1
286,Act Up,City Girls,"Motown,East Coast,Rap",rap,3
287,Addicted,Saving Abel,"Hard Rock,Post-Grunge,Rock",rock,3
289,Addicted,Simple Plan,Rock,rock,1
290,Addictive,Truth Hurts,"R&;B,Rap",r&b,2
291,Addictive,Truth Hurts,"R&;B,Rap",rap,2
292,Adore,Cashmere Cat,"R&;B,Electronic,Pop",r&b,3
293,Adore,Cashmere Cat,"R&;B,Electronic,Pop",dance/electronic/house,3
294,Adore,Cashmere Cat,"R&;B,Electronic,Pop",pop,3
295,Adore You,Miley Cyrus,Pop,pop,1
296,Adorn,Miguel,"Pop,Neo Soul,Singer-Songwriter,Trip-Hop,Soul,Soul Pop,R&;B",pop,7
298,Adorn,Miguel,"Pop,Neo Soul,Singer-Songwriter,Trip-Hop,Soul,Soul Pop,R&;B",r&b,7
299,Adrenalina,Wisin,"Latin Pop,Pop,Latin Music,Reggaeton,En Espa\xc3\xb1ol",pop,5
301,Adventure Of A Lifetime,Coldplay,"Dance-Pop,Disco,Pop,Rock",pop,4
303,Adventure Of A Lifetime,Coldplay,"Dance-Pop,Disco,Pop,Rock",rock,4
305,Aerials,System Of A Down,"Nu-Metal,Experimental Rock,Heavy Metal,Metal,Alternative Rock,Rock",rock,6
306,Afire Love,Ed Sheeran,"Rock,UK,Pop",rock,3
308,Afire Love,Ed Sheeran,"Rock,UK,Pop",pop,3
310,Africa,Weezer,"Memes,Alternative,Synth Rock,Adult Contemporary,Cover,Power Pop,Pop-Rock,Adult Alternative,Alternative Rock,Rock",alternative/indie,10
311,Africa,Weezer,"Memes,Alternative,Synth Rock,Adult Contemporary,Cover,Power Pop,Pop-Rock,Adult Alternative,Alternative Rock,Rock",rock,10
312,Africa,Weezer,"Memes,Alternative,Synth Rock,Adult Contemporary,Cover,Power Pop,Pop-Rock,Adult Alternative,Alternative Rock,Rock",pop,10
313,After Dark,Drake,"R&;B,Canada,Rap",r&b,3
315,After Dark,Drake,"R&;B,Canada,Rap",rap,3
316,After Midnight,Blink,"Pop-Rock,Pop,Punk Rock,Pop-Punk,Rock",pop,5
317,After Midnight,Blink,"Pop-Rock,Pop,Punk Rock,Pop-Punk,Rock",rock,5
318,After Party,Koffee Brown,Pop,pop,1
319,Again,Faith Evans,"R&;B,Soul",r&b,2
321,Again,Fetty Wap,"Trap,R&;B,Rap",rap,3
322,Again,Fetty Wap,"Trap,R&;B,Rap",r&b,3
324,Again,Lenny Kravitz,"Soul,Producer,Singer-Songwriter,Alternative Rock,Pop-Rock,Rock",rock,6
325,Again,Lenny Kravitz,"Soul,Producer,Singer-Songwriter,Alternative Rock,Pop-Rock,Rock",pop,6
326,Again And Again,Jewel,Pop,pop,1
328,Ai Se Eu Te Pego,Michel Telo,"Soundtrack,Pop,Sertanejo,Latin Music,Em Portugu\xc3\xaas,Brasil",pop,6
329,Ain't Back Yet,Kenny Chesney,"Country,Rock",country,2
330,Ain't Back Yet,Kenny Chesney,"Country,Rock",rock,2
331,Ain't I,Yung L.A.,Rap,rap,1
332,Ain't It Fun,Paramore,"Adult Alternative,Adult Contemporary,Alternative Rock,Funk Rock,Pop-Rock,Pop,Rock",alternative/indie,7
334,Ain't It Fun,Paramore,"Adult Alternative,Adult Contemporary,Alternative Rock,Funk Rock,Pop-Rock,Pop,Rock",rock,7
335,Ain't It Fun,Paramore,"Adult Alternative,Adult Contemporary,Alternative Rock,Funk Rock,Pop-Rock,Pop,Rock",pop,7
337,Ain't It Funny,Jennifer Lopez,"Remix,Rap,Pop,R&;B",rap,4
338,Ain't It Funny,Jennifer Lopez,"Remix,Rap,Pop,R&;B",pop,4
339,Ain't It Funny,Jennifer Lopez,"Remix,Rap,Pop,R&;B",r&b,4
340,Ain't Leavin Without You,Jaheim,R&;B,r&b,1
342,Ain't My Fault,Zara Larsson,"Scandinavia,Pop",pop,2
343,Ain't No Other Man,Christina Aguilera,"R&;B,Funk,Pop",r&b,3
345,Ain't No Other Man,Christina Aguilera,"R&;B,Funk,Pop",pop,3
346,Ain't No Rest For The Wicked,Cage The Elephant,"Adult Alternative,Alternative Rock,Indie Rock,Rock",alternative/indie,4
347,Ain't No Rest For The Wicked,Cage The Elephant,"Adult Alternative,Alternative Rock,Indie Rock,Rock",rock,4
348,Ain't No Stopping Us Now,Kane Brown,Country,country,1
349,Ain't Nothing 'Bout You,"Brooks, Dunn",Pop,pop,1
350,Ain't Worried About Nothin,French Montana,Rap,rap,1
351,Ain't Worth The Whiskey,Cole Swindell,Country,country,1
352,Ain't Your Mama,Jennifer Lopez,Pop,pop,1
354,Air Force Ones,Nelly,"Crunk,Hip-Hop,Rap",hip hop,3
355,Air Force Ones,Nelly,"Crunk,Hip-Hop,Rap",rap,3
357,Airplanes,B.o.B,"Gaming,Soundtrack,Pop,Rap",pop,4
358,Airplanes,B.o.B,"Gaming,Soundtrack,Pop,Rap",rap,4
360,Album Of The Year,J. Cole,"Freestyle,East Coast,Remix,Rap",rap,4
361,Alcohol,Brad Paisley,"Country,Rock",country,2
362,Alcohol,Brad Paisley,"Country,Rock",rock,2
363,Alejandro,Lady Gaga,"Electronic,Electro-Pop,Synth-Pop,Eurodance,Dance-Pop,Pop",dance/electronic/house,6
364,Alejandro,Lady Gaga,"Electronic,Electro-Pop,Synth-Pop,Eurodance,Dance-Pop,Pop",pop,6
366,Alice,Avril Lavigne,"Canada,Rock",rock,2
367,Alive,Krewella,"Progressive House,Pop,Electronic",dance/electronic/house,3
368,Alive,Krewella,"Progressive House,Pop,Electronic",pop,3
369,Alive,P.O.D.,"Rap Rock,Alternative Metal,Alternative Rock,Metal,Christian Metal,Christian Rock,Rock,Nu-Metal",rock,8
370,Alive,P.O.D.,"Rap Rock,Alternative Metal,Alternative Rock,Metal,Christian Metal,Christian Rock,Rock,Nu-Metal",alternative/indie,8
373,Alive,Sia,"Australia,Pop",pop,2
374,All,American Girl,Country,country,1
376,All About It,Hoodie Allen,"UK,Rap",rap,2
378,All About That Bass,Meghan Trainor,"Adult Contemporary,R&;B,Bubblegum Pop,Doo-Wop,Pop",r&b,5
379,All About That Bass,Meghan Trainor,"Adult Contemporary,R&;B,Bubblegum Pop,Doo-Wop,Pop",pop,5
380,All About Tonight,Blake Shelton,"Country,Rock",country,2
381,All About Tonight,Blake Shelton,"Country,Rock",rock,2
383,All Around Me,Flyleaf,"Christian,Rock,Post-Grunge",rock,3
385,All Around The World,Justin Bieber,"Canada,Rap,Pop",rap,3
386,All Around The World,Justin Bieber,"Canada,Rap,Pop",pop,3
388,All Bad,Justin Bieber,"Canada,Pop",pop,2
389,All Because Of You,Marques Houston,"R&;B,Rap",r&b,2
390,All Because Of You,Marques Houston,"R&;B,Rap",rap,2
392,All By Myself,Glee Cast,"Screen,Soundtrack,Pop",pop,3
394,All Da Smoke,"Future, Young Thug","Atlanta,Trap,Rap",rap,3
396,All Day,Kanye West,"UK,Drill,Trap,Producer,Rap",rap,5
398,All Eyes On You,Meek Mill,"DMV,R&;B,Rap",r&b,3
399,All Eyes On You,Meek Mill,"DMV,R&;B,Rap",rap,3
400,All Eyez,The Game,"R&;B,Rap",r&b,2
401,All Eyez,The Game,"R&;B,Rap",rap,2
402,All Eyez On Me,Monica,R&;B,r&b,1
404,All Falls Down,Kanye West,"Acoustic,R&;B,Hip-Hop,Producer,Rap",r&b,5
405,All Falls Down,Kanye West,"Acoustic,R&;B,Hip-Hop,Producer,Rap",hip hop,5
406,All Falls Down,Kanye West,"Acoustic,R&;B,Hip-Hop,Producer,Rap",rap,5
407,All For You,Janet,"Dance,Pop,R&;B",dance/electronic/house,3
408,All For You,Janet,"Dance,Pop,R&;B",pop,3
409,All For You,Janet,"Dance,Pop,R&;B",r&b,3
410,All Girls Are The Same,Juice WRLD,"Emo Rap,Cloud Rap,Alternative,Trap,Emo,Rap",rap,6
411,All Girls Are The Same,Juice WRLD,"Emo Rap,Cloud Rap,Alternative,Trap,Emo,Rap",alternative/indie,6
413,All Gold Everything,Trinidad James,"Trap,Rap",rap,2
415,All Good Things,Nelly Furtado,"Folk,Ballad,Pop",pop,3
416,All Good?,De La Soul,"R&;B,Rap",r&b,2
417,All Good?,De La Soul,"R&;B,Rap",rap,2
419,All I Ask,Adele,"UK,Pop",pop,2
420,All I Ask For Anymore,Trace Adkins,Country,country,1
422,All I Do Is Win,DJ Khaled,"West Coast,R&;B,Pop,Rap",r&b,4
423,All I Do Is Win,DJ Khaled,"West Coast,R&;B,Pop,Rap",pop,4
424,All I Do Is Win,DJ Khaled,"West Coast,R&;B,Pop,Rap",rap,4
425,All I Ever Wanted,Chuck Wicks,Pop,pop,1
426,All I Ever Wanted,Kelly Clarkson,"Pop-Rock,Pop",pop,2
427,All I Have,Jennifer Lopez,"Rap,R&;B",rap,2
428,All I Have,Jennifer Lopez,"Rap,R&;B",r&b,2
430,All I Know,The Weeknd,"Canada,Rap,R&;B,Electro-Pop,Pop",rap,5
431,All I Know,The Weeknd,"Canada,Rap,R&;B,Electro-Pop,Pop",r&b,5
432,All I Know,The Weeknd,"Canada,Rap,R&;B,Electro-Pop,Pop",pop,5
433,All I Need,Fat Joe,Rap,rap,1
435,All I Want For Christmas Is You,Mariah Carey,"East Coast,Christmas,R&;B,Pop",r&b,4
436,All I Want For Christmas Is You,Mariah Carey,"East Coast,Christmas,R&;B,Pop",pop,4
438,All I Want For Christmas Is You,Michael Buble,"Cover,Christmas,Holiday,Jazz,Pop",pop,5
440,All I Want Is You,Miguel,"Soul,Soul Pop,R&;B,Rap",pop,4
441,All I Want Is You,Miguel,"Soul,Soul Pop,R&;B,Rap",r&b,4
442,All I Want Is You,Miguel,"Soul,Soul Pop,R&;B,Rap",rap,4
443,All I Want To Do,Sugarland,"Country,Rap",country,2
444,All I Want To Do,Sugarland,"Country,Rap",rap,2
445,All In My Head,Fifth Harmony,"Tropical House,Trap,Reggae,Girl Group,Rap,Pop",dance/electronic/house,6
446,All In My Head,Fifth Harmony,"Tropical House,Trap,Reggae,Girl Group,Rap,Pop",rap,6
448,All In My Head,Fifth Harmony,"Tropical House,Trap,Reggae,Girl Group,Rap,Pop",pop,6
449,All Jacked Up,Gretchen Wilson,Country,country,1
450,All Kinds Of Kinds,Miranda Lambert,"Country,Rock",country,2
451,All Kinds Of Kinds,Miranda Lambert,"Country,Rock",rock,2
453,All Me,Drake,"Canada,Rap",rap,2
455,All Mine,Kanye West,"Experimental,Rap",rap,2
456,All My Friends,21 Savage,"Trap,Rap",rap,2
457,All My Friends Say,Luke Bryan,Country,country,1
458,All My Life,Foo Fighters,Rock,rock,1
459,All Night,Beyonce,"Pop,R&;B",pop,2
460,All Night,Beyonce,"Pop,R&;B",r&b,2
462,All Of Me,John Legend,"Piano,Easy Listening,Adult Contemporary,Soul Pop,Soul,Ballad,Pop,R&;B",pop,8
463,All Of Me,John Legend,"Piano,Easy Listening,Adult Contemporary,Soul Pop,Soul,Ballad,Pop,R&;B",r&b,8
464,All Of The Lights,Kanye West,"Pop,Producer,Rap",pop,3
466,All Of The Lights,Kanye West,"Pop,Producer,Rap",rap,3
467,All On Me,Devin Dawson,"Pop,Country",pop,2
468,All On Me,Devin Dawson,"Pop,Country",country,2
469,All Or Nothing,O,"Electro-Pop,Deep House,House,Pop",pop,4
470,All Or Nothing,O,"Electro-Pop,Deep House,House,Pop",dance/electronic/house,4
471,All Or Nothing,Theory Of A Deadman,Rock,rock,1
472,All Over Me,Josh Turner,"Country,Rock",country,2
