,Unnamed: 0,X,GrammyAward,GrammyYear,Genre,Name,Artist,Artists,number_artists
148,200,199,Best Male R&B Vocal Performance,2009,R&B,pretty wings,Maxwell,Maxwell,1
149,201,200,Best R&B Performance By A Duo Or Group With Vocals,2009,R&B,blame it,Jamie Foxx & t-Pain,Jamie Foxx,1
150,205,204,Best Rap Performance By A Duo Or Group,2009,Rap,crack a bottle,"Eminem, Dr Dre & 50 Cent","Eminem, Dr. Dre, 50 Cent",3
151,206,205,Best Rap Song,2009,Rap,run this town,"Jay-z), Robyn Fenty, Kanye West & Ernest Wilson, Songwriters (Athanasios Alatas, Songwriter) (Jay-Z, Rihanna & Kanye West",Jay,1
152,207,206,Best Female Country Vocal Performance,2009,Country,white horse,Taylor Swift,Taylor Swift,1
153,209,208,Best Country Song,2009,Country,white horse,Taylor Swift,Taylor Swift,1
154,208,207,Best Male Country Vocal Performance,2009,Country,sweet thing,Keith Urban,Keith Urban,1
155,212,211,Song Of The Year,2008,General,viva la vida,Coldplay,Coldplay,1
156,215,214,Best Pop Performance By A Duo Or Group With Vocals,2008,Pop,viva la vida,Coldplay,Coldplay,1
157,213,212,Best Female Pop Vocal Performance,2008,Pop,chasing pavements,Adele,Adele,1
158,214,213,Best Male Pop Vocal Performance,2008,Pop,say,John Mayer,John Mayer,1
159,221,220,Best Female R&B Vocal Performance,2008,R&B,superwoman,Alicia Keyss,Alicia Keys,1
160,222,221,Best Male R&B Vocal Performance,2008,R&B,miss independent,Ne-Yo,Kelly Clarkson,1
161,222,221,Best Male R&B Vocal Performance,2008,R&B,miss independent,Ne-Yo,Ne,1
162,225,224,Best R&B Song,2008,R&B,miss independent,Ne-Yo,Kelly Clarkson,1
163,225,224,Best R&B Song,2008,R&B,miss independent,Ne-Yo,Ne,1
164,226,225,Best Rap Solo Performance,2008,Rap,a milli,Lil Wayne,Lil Wayne,1
165,227,226,Best Rap Performance By A Duo Or Group,2008,Rap,swagga like us,Jay-z & Ti. Featuring Kanye West & Lil Wayne,Jay,1
166,228,227,Best Rap Song,2008,Rap,lollipop,Lil Wayne Featuring Static Major,Framing Hanley,1
167,228,227,Best Rap Song,2008,Rap,lollipop,Lil Wayne Featuring Static Major,Lil Wayne,1
168,229,228,Best Female Country Vocal Performance,2008,Country,last name,Carrie Underwood,Carrie Underwood,1
169,230,229,Best Male Country Vocal Performance,2008,Country,letter to me,Brad Paisley,Brad Paisley,1
170,231,230,Best Country Song,2008,Country,stay,Sugarland,Florida Georgia Line,1
171,231,230,Best Country Song,2008,Country,stay,Sugarland,Post Malone,1
172,231,230,Best Country Song,2008,Country,stay,Sugarland,Rihanna,1
173,231,230,Best Country Song,2008,Country,stay,Sugarland,Sugarland,1
174,231,230,Best Country Song,2008,Country,stay,Sugarland,"Zedd, Alessia Cara",2
175,232,231,Record Of The Year,2007,General,rehab,Amy Winehouse,Amy Winehouse,1
176,232,231,Record Of The Year,2007,General,rehab,Amy Winehouse,Rihanna,1
177,233,232,Song Of The Year,2007,General,rehab,Amy Winehouse,Amy Winehouse,1
178,233,232,Song Of The Year,2007,General,rehab,Amy Winehouse,Rihanna,1
179,234,233,Best Female Pop Vocal Performance,2007,Pop,rehab,Amy Winehouse,Amy Winehouse,1
180,234,233,Best Female Pop Vocal Performance,2007,Pop,rehab,Amy Winehouse,Rihanna,1
181,236,235,Best Pop Performance By A Duo Or Group With Vocals,2007,Pop,makes me wonder,Maroon 5,Maroon 5,1
182,239,238,Best Hard Rock Performance,2007,Rock,the pretender,Foo Fighters,Foo Fighters,1
183,242,241,Best Female R&B Vocal Performance,2007,R&B,no one,Alicia Keys,Alicia Keys,1
184,246,245,Best R&B Song,2007,R&B,no one,Alicia Keys,Alicia Keys,1
185,247,246,Best Rap Solo Performance,2007,Rap,stronger,Kanye West,Britney Spears,1
186,247,246,Best Rap Solo Performance,2007,Rap,stronger,Kanye West,Kanye West,1
187,248,247,Best Rap Performance By A Duo Or Group,2007,Rap,southside,Common Featuring Kanye West,Lloyd,1
188,249,248,Best Rap Song,2007,Rap,good life,Kanye West Featuring t-Pain,G,1
189,249,248,Best Rap Song,2007,Rap,good life,Kanye West Featuring t-Pain,Kanye West,1
190,249,248,Best Rap Song,2007,Rap,good life,Kanye West Featuring t-Pain,OneRepublic,1
191,250,249,Best Female Country Vocal Performance,2007,Country,before he cheats,Carrie Underwood,Carrie Underwood,1
192,252,251,Best Country Song,2007,Country,before he cheats,Carrie Underwood,Carrie Underwood,1
193,251,250,Best Male Country Vocal Performance,2007,Country,stupid boy,Keith Urban,Keith Urban,1
194,253,252,Record Of The Year,2006,General,not ready to make nice,Dixie Chicks,Dixie Chicks,1
195,254,253,Song Of The Year,2006,General,not ready to make nice,Dixie Chicks,Dixie Chicks,1
196,255,254,Best Female Pop Vocal Performance,2006,Pop,ain't no other man,Christina Aguilera,Christina Aguilera,1
197,256,255,Best Male Pop Vocal Performance,2006,Pop,waiting on the world to change,John Mayer,John Mayer,1
198,257,256,Best Pop Performance By A Duo Or Group With Vocal,2006,Pop,my humps,The Black Eyed Peas,The Black Eyed Peas,1
199,260,259,Best Rock Performance By A Duo Or Group With Vocal,2006,Rock,dani california,Red Hot Chili Peppers,Red Hot Chili Peppers,1
200,263,262,Best Rock Song,2006,Rock,dani california,Red Hot Chili Peppers,Red Hot Chili Peppers,1
201,261,260,Best Hard Rock Performance,2006,Rock,woman,Wolfmother,Raheem DeVaughn,1
202,264,263,Best Female R&B Vocal Performance,2006,R&B,be without you,Mary j Blige,Mary J. Blige,1
203,268,267,Best R&B Song,2006,R&B,be without you,Mary j Blige,Mary J. Blige,1
204,265,264,Best Male R&B Vocal Performance,2006,R&B,heaven,John Legend,"DJ Sammy, Yanou",2
205,265,264,Best Male R&B Vocal Performance,2006,R&B,heaven,John Legend,Kane Brown,1
206,265,264,Best Male R&B Vocal Performance,2006,R&B,heaven,John Legend,Live,1
207,265,264,Best Male R&B Vocal Performance,2006,R&B,heaven,John Legend,Los Lonely Boys,1
208,301,300,Best Pop Performance By A Duo Or Group With Vocal,2004,Pop,heaven,Los Lonely Boys,"DJ Sammy, Yanou",2
209,301,300,Best Pop Performance By A Duo Or Group With Vocal,2004,Pop,heaven,Los Lonely Boys,Kane Brown,1
210,301,300,Best Pop Performance By A Duo Or Group With Vocal,2004,Pop,heaven,Los Lonely Boys,Live,1
211,301,300,Best Pop Performance By A Duo Or Group With Vocal,2004,Pop,heaven,Los Lonely Boys,Los Lonely Boys,1
212,266,265,Best R&B Performance By A Duo Or Group With Vocals,2006,R&B,family affair,"John Legend, Joss Stone with Van Hunt",Mary J. Blige,1
213,267,266,Best Urban/Alternative Performance,2006,R&B,crazy,Gnarls Barkley,Britney Spears,1
214,267,266,Best Urban/Alternative Performance,2006,R&B,crazy,Gnarls Barkley,Gnarls Barkley,1
215,267,266,Best Urban/Alternative Performance,2006,R&B,crazy,Gnarls Barkley,Javier,1
216,267,266,Best Urban/Alternative Performance,2006,R&B,crazy,Gnarls Barkley,K,1
217,269,268,Best Rap Solo Performance,2006,Rap,what you know,Ti.,T.I.,1
218,271,270,Best Rap Song,2006,Rap,money maker,Ludacris Featuring Pharrell,Ludacris,1
219,272,271,Best Female Country Vocal Performance,2006,Country,"jesus, take the wheel",Carrie Underwood,Carrie Underwood,1
220,274,273,Best Country Song,2006,Country,"jesus, take the wheel",Carrie Underwood,Carrie Underwood,1
221,275,274,Record Of The Year,2005,General,boulevard of broken dreams,Green Day,Green Day,1
222,276,275,Song Of The Year,2005,General,sometimes you can't make it on your own,"Bono, Adam Clayton, Edge, Larry Mullen Jr), Songwriters (U2",U2,1
223,282,281,Best Rock Performance By A Duo Or Group With Vocal,2005,Rock,sometimes you can't make it on your own,U2,U2,1
224,277,276,Best Female Pop Vocal Performance,2005,Pop,since u been gone,Kelly Clarkson,Kelly Clarkson,1
225,279,278,Best Pop Performance By A Duo Or Group With Vocal,2005,Pop,this love,Maroon 5,Maroon 5,1
226,283,282,Best Hard Rock Performance,2005,Rock,b.y.o.b.,System of a Down,System Of A Down,1
227,286,285,Best Female R&B Vocal Performance,2005,R&B,we belong together,Mariah Carey,Gavin DeGraw,1
228,286,285,Best Female R&B Vocal Performance,2005,R&B,we belong together,Mariah Carey,Mariah Carey,1
229,290,289,Best R&B Song,2005,R&B,we belong together,Mariah Carey,Gavin DeGraw,1
230,290,289,Best R&B Song,2005,R&B,we belong together,Mariah Carey,Mariah Carey,1
231,287,286,Best Male R&B Vocal Performance,2005,R&B,ordinary people,John Legend,John Legend,1
232,289,288,Best Urban/Alternative Performance,2005,R&B,welcome to jamrock,Damian Marley,"Damian ""Jr. Gong"" Marley",1
233,291,290,Best Rap Solo Performance,2005,Rap,gold digger,Kanye West,Kanye West,1
234,292,291,Best Rap Performance By A Duo Or Group,2005,Rap,don't phunk with my heart,The Black Eyed Peas,The Black Eyed Peas,1
235,293,292,Best Rap Song,2005,Rap,diamonds from sierra leone,Kanye West,Kanye West,1
236,295,294,Best Male Country Vocal Performance,2005,Country,you'll think of me,Keith Urban,Keith Urban,1
237,296,295,Best Country Song,2005,Country,bless the broken road,Rascal Flatts,Rascal Flatts,1
238,297,296,Record Of The Year,2004,General,here we go again,Norah Jones,Demi Lovato,1
239,302,301,Best Pop Collaboration With Vocals,2004,Pop,here we go again,Norah Jones,Demi Lovato,1
240,298,297,Song Of The Year,2004,General,daughters,John Mayer,John Mayer,1
241,300,299,Best Male Pop Vocal Performance,2004,Pop,daughters,John Mayer,John Mayer,1
242,299,298,Best Female Pop Vocal Performance,2004,Pop,sunrise,Norah Jones,Duran Duran,1
243,303,302,Best Dance Recording,2004,Dance/Electronic Music,toxic,Britney Spears,Britney Spears,1
244,304,303,Best Rock Performance By A Duo Or Group With Vocal,2004,Rock,vertigo,U2,U2,1
245,307,306,Best Rock Song,2004,Rock,vertigo,"Bono, Adam Clayton, the Edge, Larry Mullen, Jr), Songwriter (U2",U2,1
246,305,304,Best Hard Rock Performance,2004,Rock,slither,Velvet Revolver,Velvet Revolver,1
247,308,307,Best Female R&B Vocal Performance,2004,R&B,if i ain't got you,Alicia Keys,Alicia Keys,1
