,Unnamed: 0,X,GrammyAward,GrammyYear,Genre,Name,Artist,Artists,number_artists
311,381,380,Best Male R&B Vocal Performance,2001,R&B,u remind me,Usher,Usher,1
312,383,382,Best Rap Solo Performance,2001,Rap,get ur freak on,"Missy ""Misdemeanor"" Elliott","Missy ""Misdemeanor"" Elliott",1
313,384,383,Best Rap Performance By A Duo Or Group,2001,Rap,ms. jackson,Outkast,OutKast,1
314,387,386,Best Country Song,2001,Country,the lucky one,Alison Krauss & Union Station,Faith Hill,1
315,388,387,Record Of The Year,2000,General,beautiful day,U2,Lee DeWyze,1
316,388,387,Record Of The Year,2000,General,beautiful day,U2,U2,1
317,389,388,Song Of The Year,2000,General,beautiful day,"Bono, Adam Clayton, Edge, Larry Mullen Jr), Songwriter (U2",Lee DeWyze,1
318,389,388,Song Of The Year,2000,General,beautiful day,"Bono, Adam Clayton, Edge, Larry Mullen Jr), Songwriter (U2",U2,1
319,397,396,Best Rock Performance By A Duo Or Group With Vocal,2000,Rock,beautiful day,U2,Lee DeWyze,1
320,397,396,Best Rock Performance By A Duo Or Group With Vocal,2000,Rock,beautiful day,U2,U2,1
321,390,389,Best Female Pop Vocal Performance,2000,Pop,i try,Macy Gray,Macy Gray,1
322,394,393,Best Dance Recording,2000,Pop,who let the dogs out,Baha Men,Baha Men,1
323,396,395,Best Male Rock Vocal Performance,2000,Rock,again,Lenny Kravitz,Faith Evans,1
324,396,395,Best Male Rock Vocal Performance,2000,Rock,again,Lenny Kravitz,Fetty Wap,1
325,396,395,Best Male Rock Vocal Performance,2000,Rock,again,Lenny Kravitz,Lenny Kravitz,1
326,398,397,Best Hard Rock Performance,2000,Rock,guerrilla radio,Rage Against the Machine,Rage Against The Machine,1
327,400,399,Best Rock Song,2000,Rock,with arms wide open,Creed,Creed,1
328,401,400,Best Female R&B Vocal Performance,2000,R&B,he wasn't man enough,Toni Braxton,Toni Braxton,1
329,403,402,Best R&B Song,2000,R&B,say my name,Destiny's Child,Destiny's Child,1
330,404,403,Best Rap Solo Performance,2000,Rap,the real slim shady,Eminem,Eminem,1
331,405,404,Best Rap Performance By A Duo Or Group,2000,Rap,forgot about dre,Dr Dre Featuring Eminem,Dr. Dre,1
332,406,405,Best Female Country Vocal Performance,2000,Country,breathe,Faith Hill,Anna Nalick,1
333,406,405,Best Female Country Vocal Performance,2000,Country,breathe,Faith Hill,Blu Cantrell,1
334,406,405,Best Female Country Vocal Performance,2000,Country,breathe,Faith Hill,Fabolous,1
335,406,405,Best Female Country Vocal Performance,2000,Country,breathe,Faith Hill,Faith Hill,1
336,406,405,Best Female Country Vocal Performance,2000,Country,breathe,Faith Hill,Michelle Branch,1
337,406,405,Best Female Country Vocal Performance,2000,Country,breathe,Faith Hill,Telepopmusik,1
338,408,407,Best Country Song,2000,Country,i hope you dance,Lee Ann Womack,Lee Ann Womack,1
339,409,408,Record Of The Year,1999,General,smooth,santana featuring Rob Thomas,Florida Georgia Line,1
340,409,408,Record Of The Year,1999,General,smooth,santana featuring Rob Thomas,Santana,1
341,410,409,Song Of The Year,1999,General,smooth,Santana Featuring Rob Thomas,Florida Georgia Line,1
342,410,409,Song Of The Year,1999,General,smooth,Santana Featuring Rob Thomas,Santana,1
343,414,413,Best Pop Collaboration With Vocals,1999,Pop,smooth,santana featuring Rob Thomas,Florida Georgia Line,1
344,414,413,Best Pop Collaboration With Vocals,1999,Pop,smooth,santana featuring Rob Thomas,Santana,1
345,411,410,Best Female Pop Vocal Performance,1999,Pop,i will remember you,Sarah Mclachlan,Sarah McLachlan,1
346,413,412,Best Pop Performance By A Duo Or Group With Vocal,1999,Pop,maria maria,Santana,Santana,1
347,415,414,Best Dance Recording,1999,Pop,believe,Cher,"Brooks, Dunn",2
348,415,414,Best Dance Recording,1999,Pop,believe,Cher,Cher,1
349,415,414,Best Dance Recording,1999,Pop,believe,Cher,"Mumford, Sons",2
350,415,414,Best Dance Recording,1999,Pop,believe,Cher,Staind,1
351,417,416,Best Male Rock Vocal Performance,1999,Rock,american woman,Lenny Kravitz,Lenny Kravitz,1
352,421,420,Best Rock Song,1999,Rock,scar tissue,Red Hot Chili Peppers,Red Hot Chili Peppers,1
353,426,425,Best Female Country Vocal Performance,1999,Country,man! i feel like a woman!,Shania Twain,Shania Twain,1
354,428,427,Best Country Song,1999,Country,come on over,Shania Twain,Jessica Simpson,1
355,428,427,Best Country Song,1999,Country,come on over,Shania Twain,Shania Twain,1
